Region, County Name, District Name, District Number, Charter Status, Eligible For Free Meals Count, Eligible For Free Meals Percent, Eligible For Reduced-Price Meals Count, Eligible For Reduced-Price Meals Percent, Other Economically Disadvantaged Count, Other Economically Disadvantaged Percent, Not Economically Disadvantaged Count, Not Economically Disadvantaged Percent, Total Count
04, WALLER COUNTY, WALLER ISD,237904, TRADITIONAL ISD/CSD,5547,59.75,613,6.6,111,1.2,3012,32.45,9283
15, BROWN COUNTY, BANGS ISD, 025901, TRADITIONAL ISD/CSD,489,59.85,-999,-999,-999,-999,262,32.07,817
10, DALLAS COUNTY, PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES, 057802, OPEN ENROLLMENT CHARTER,270,59.87,67,14.86,0,0,114,25.28,451
05, HARDIN COUNTY, WEST HARDIN COUNTY CISD,100908, TRADITIONAL ISD/CSD,324,59.89,50,9.24,0,0,167,30.87,541
04, HARRIS COUNTY, BETA ACADEMY,101870, OPEN ENROLLMENT CHARTER,891,59.96,-999,-999,-999,-999,419,28.2,1486
20, BEXAR COUNTY, THE GATHERING PLACE, 015841, OPEN ENROLLMENT CHARTER,371,60.03,53,8.58,0,0,194,31.39,618
17, LUBBOCK COUNTY, ROOSEVELT ISD,152908, TRADITIONAL ISD/CSD,674,60.07,26,2.32,152,13.55,270,24.06,1122
16, HARTLEY COUNTY, CHANNING ISD,103901, TRADITIONAL ISD/CSD,77,60.16,13,10.16,0,0,38,29.69,128
06, HOUSTON COUNTY, CROCKETT ISD,113901, TRADITIONAL ISD/CSD,712,60.19,77,6.51,165,13.95,229,19.36,1183
10, DALLAS COUNTY, JEAN MASSIEU ACADEMY, 057819, OPEN ENROLLMENT CHARTER,117,60.31,-999,-999,-999,-999,62,31.96,194
03, VICTORIA COUNTY, VICTORIA ISD,235902, TRADITIONAL ISD/CSD,7868,60.4,739,5.67,-999,-999,4345,33.35,13027
10, ELLIS COUNTY, MILFORD ISD, 070909, TRADITIONAL ISD/CSD,158,60.54,-999,-999,-999,-999,-999,-999,261
16, LIPSCOMB COUNTY, DARROUZETT ISD,148905, TRADITIONAL ISD/CSD,63,60.58,13,12.5,0,0,28,26.92,104
09, JACK COUNTY, JACKSBORO ISD,119902, TRADITIONAL ISD/CSD,656,60.63,79,7.3,0,0,347,32.07,1082
20, MAVERICK COUNTY, EAGLE PASS ISD,159901, TRADITIONAL ISD/CSD,8412,60.65,479,3.45,2428,17.51,2550,18.39,13869
09, WICHITA COUNTY, WICHITA FALLS ISD,243905, TRADITIONAL ISD/CSD,7810,60.69,-999,-999,-999,-999,4186,32.53,12868
17, LUBBOCK COUNTY, SLATON ISD,152903, TRADITIONAL ISD/CSD,757,60.71,26,2.09,113,9.06,351,28.15,1247
20, BEXAR COUNTY, JUBILEE ACADEMIES, 015822, OPEN ENROLLMENT CHARTER,3661,60.84,225,3.74,1285,21.36,846,14.06,6017
04, LIBERTY COUNTY, DAYTON ISD,146902, TRADITIONAL ISD/CSD,3521,60.84,-999,-999,-999,-999,1772,30.62,5787
07, ANDERSON COUNTY, PALESTINE ISD, 001907, TRADITIONAL ISD/CSD,1977,60.89,133,4.1,539,16.6,598,18.42,3247
07, RUSK COUNTY, LEVERETTS CHAPEL ISD,201904, TRADITIONAL ISD/CSD,145,60.92,26,10.92,20,8.4,47,19.75,238
04, HARRIS COUNTY, CHANNELVIEW ISD,101905, TRADITIONAL ISD/CSD,5748,60.93,0,0,2585,27.4,1101,11.67,9434
05, JEFFERSON COUNTY, BEAUMONT ISD,123910, TRADITIONAL ISD/CSD,10240,60.94,459,2.73,3350,19.94,2754,16.39,16803
07, RUSK COUNTY, MOUNT ENTERPRISE ISD,201907, TRADITIONAL ISD/CSD,309,60.95,-999,-999,-999,-999,181,35.7,507
01, CAMERON COUNTY, BROWNSVILLE ISD, 031901, TRADITIONAL ISD/CSD,22596,60.96,1233,3.33,9358,25.25,3878,10.46,37065
03, MATAGORDA COUNTY, MATAGORDA ISD,158904, TRADITIONAL ISD/CSD,69,61.06,-999,-999,-999,-999,31,27.43,113
05, HARDIN COUNTY, KOUNTZE ISD,100903, TRADITIONAL ISD/CSD,698,61.07,-999,-999,-999,-999,369,32.28,1143
07, SMITH COUNTY, CHAPEL HILL ISD,212909, TRADITIONAL ISD/CSD,1998,61.1,-999,-999,-999,-999,675,20.64,3270
08, LAMAR COUNTY, PARIS ISD,139909, TRADITIONAL ISD/CSD,2364,61.12,123,3.18,554,14.32,827,21.38,3868
13, CALDWELL COUNTY, LOCKHART ISD, 028902, TRADITIONAL ISD/CSD,4045,61.25,747,11.31,0,0,1812,27.44,6604
20, MEDINA COUNTY, HONDO ISD,163904, TRADITIONAL ISD/CSD,1074,61.27,90,5.13,47,2.68,542,30.92,1753
02, BEE COUNTY, BEEVILLE ISD, 013901, TRADITIONAL ISD/CSD,1900,61.27,93,3,587,18.93,521,16.8,3101
10, KAUFMAN COUNTY, MABANK ISD,129905, TRADITIONAL ISD/CSD,2492,61.29,-999,-999,-999,-999,1374,33.79,4066
